Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
MDN $_{LogRank}$,1.0,0.75,0.7502 ± 0.0234,0.1724 ± 0.0070,0.8346 ± 0.0177,0.5877 ± 0.2024,0.7229,0.2058,0.7844,0.0712
MDN $_{LogRank}$,1.0,0.5,0.6578 ± 0.0658,0.2586 ± 0.0149,0.8009 ± 0.0270,0.5996 ± 0.2517,0.7139,0.2656,0.7806,0.3308
MDN $_{LogRank}$,1.0,0.25,0.5890 ± 0.1120,0.4250 ± 0.0328,0.7272 ± 0.0666,0.2975 ± 0.1312,0.6800,0.4104,0.7444,0.0605
MDN $_{LogRank}$,0.75,1.0,0.7756 ± 0.0117,0.1407 ± 0.0089,0.8349 ± 0.0234,0.6261 ± 0.2735,0.7254,0.1534,0.7937,0.2840
MDN $_{LogRank}$,0.75,0.75,0.7671 ± 0.0137,0.1689 ± 0.0077,0.8325 ± 0.0218,0.6298 ± 0.2461,0.7251,0.1929,0.7827,0.3491
MDN $_{LogRank}$,0.75,0.5,0.7383 ± 0.0199,0.2406 ± 0.0081,0.8069 ± 0.0219,0.3966 ± 0.2300,0.6698,0.2683,0.7369,0.7481
MDN $_{LogRank}$,0.75,0.25,0.6275 ± 0.0695,0.4154 ± 0.0271,0.7071 ± 0.0522,0.4140 ± 0.2632,0.6633,0.4395,0.7288,0.0312
MDN $_{LogRank}$,0.5,1.0,0.7869 ± 0.0107,0.1424 ± 0.0152,0.8429 ± 0.0230,0.2358 ± 0.0687,0.7373,0.1604,0.7999,0.0167
MDN $_{LogRank}$,0.5,0.75,0.7816 ± 0.0129,0.1657 ± 0.0128,0.8382 ± 0.0218,0.1245 ± 0.0524,0.7251,0.1791,0.7934,0.0420
MDN $_{LogRank}$,0.5,0.5,0.7571 ± 0.0112,0.2159 ± 0.0123,0.8177 ± 0.0206,0.0691 ± 0.0341,0.7194,0.2333,0.7890,0.0024
MDN $_{LogRank}$,0.5,0.25,0.6742 ± 0.0495,0.3470 ± 0.0294,0.7305 ± 0.0562,0.0231 ± 0.0182,0.6713,0.3577,0.7412,0.0001
MDN $_{LogRank}$,0.25,1.0,0.8105 ± 0.0264,0.1156 ± 0.0091,0.8603 ± 0.0255,0.1817 ± 0.0531,0.7827,0.1165,0.8455,0.0441
MDN $_{LogRank}$,0.25,0.75,0.7928 ± 0.0332,0.1349 ± 0.0134,0.8419 ± 0.0290,0.1386 ± 0.0433,0.7536,0.1355,0.8156,0.0293
MDN $_{LogRank}$,0.25,0.5,0.7597 ± 0.0407,0.1708 ± 0.0242,0.8066 ± 0.0284,0.0962 ± 0.0314,0.7237,0.1668,0.7819,0.0164
MDN $_{LogRank}$,0.25,0.25,0.5653 ± 0.0450,0.2667 ± 0.0269,0.5877 ± 0.0642,0.1828 ± 0.0675,0.5721,0.2849,0.5980,0.0020
MDN ,1.0,1.0,0.7688 ± 0.0189,0.1416 ± 0.0099,0.8271 ± 0.0215,0.2872 ± 0.2929,0.7500,0.1447,0.8145,0.0218
