Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
GradientBoosting ,0.25,0.25,0.6657 ± 0.0356,0.7798 ± 0.0687,0.7687 ± 0.0211,0.0037 ± 0.0046,0.5804,0.7357,0.6865,0.0000
MDN $_{LogRank}$,1.0,1.0,0.6876 ± 0.0144,0.1530 ± 0.0556,0.8407 ± 0.0501,0.6100 ± 0.2630,0.7078,0.1496,0.8202,0.7987
MDN $_{LogRank}$,1.0,0.75,0.6766 ± 0.0115,0.2369 ± 0.0981,0.8306 ± 0.0465,0.4102 ± 0.1078,0.7174,0.2653,0.5573,0.8389
MDN $_{LogRank}$,1.0,0.5,0.6031 ± 0.0397,0.4183 ± 0.0874,0.6381 ± 0.1370,0.5276 ± 0.2660,0.7030,0.3416,0.8084,0.6559
MDN $_{LogRank}$,1.0,0.25,0.6746 ± 0.0386,0.5510 ± 0.1676,0.7972 ± 0.0581,0.3962 ± 0.2172,0.7203,0.5947,0.7774,0.1294
MDN $_{LogRank}$,0.75,1.0,0.6896 ± 0.0233,0.1674 ± 0.0313,0.8106 ± 0.0442,0.4992 ± 0.2256,0.7095,0.1505,0.8265,0.7246
MDN $_{LogRank}$,0.75,0.75,0.6701 ± 0.0194,0.2345 ± 0.0770,0.8222 ± 0.0513,0.6608 ± 0.1608,0.7133,0.2439,0.8122,0.5828
MDN $_{LogRank}$,0.75,0.5,0.6487 ± 0.0209,0.4653 ± 0.0878,0.6490 ± 0.0991,0.6111 ± 0.2283,0.7213,0.4161,0.6366,0.5860
MDN $_{LogRank}$,0.75,0.25,0.6307 ± 0.0859,0.6763 ± 0.1367,0.7078 ± 0.1350,0.4356 ± 0.3484,0.3685,0.7554,0.3542,0.0078
MDN $_{LogRank}$,0.5,1.0,0.6882 ± 0.0115,0.1545 ± 0.0517,0.8348 ± 0.0399,0.4834 ± 0.2515,0.6901,0.1642,0.8113,0.7153
MDN $_{LogRank}$,0.5,0.75,0.6798 ± 0.0254,0.2551 ± 0.0896,0.8095 ± 0.0506,0.6264 ± 0.1291,0.7204,0.2576,0.8273,0.4579
MDN $_{LogRank}$,0.5,0.5,0.6625 ± 0.0513,0.3806 ± 0.1170,0.6948 ± 0.1682,0.5666 ± 0.2842,0.7066,0.3564,0.8113,0.0018
MDN $_{LogRank}$,0.5,0.25,0.6390 ± 0.0792,0.7265 ± 0.2055,0.7549 ± 0.0805,0.3653 ± 0.1864,0.7193,0.4860,0.8141,0.0184
