Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
GradientBoosting ,1.0,0.25,0.6346 ± 0.0258,0.6655 ± 0.0219,0.8602 ± 0.0118,0.0000 ± 0.0000,0.6532,0.6443,0.8731,0.0000
GradientBoosting ,0.75,1.0,0.8609 ± 0.0053,0.1355 ± 0.0072,0.8802 ± 0.0068,0.0029 ± 0.0031,0.8732,0.1360,0.8932,0.0000
GradientBoosting ,0.75,0.75,0.8211 ± 0.0075,0.1930 ± 0.0088,0.8915 ± 0.0057,0.0000 ± 0.0000,0.8347,0.1927,0.9001,0.0000
GradientBoosting ,0.75,0.5,0.7639 ± 0.0108,0.3379 ± 0.0167,0.8958 ± 0.0063,0.0000 ± 0.0000,0.7689,0.3344,0.8971,0.0000
GradientBoosting ,0.75,0.25,0.6463 ± 0.0218,0.6541 ± 0.0218,0.8613 ± 0.0115,0.0000 ± 0.0000,0.6784,0.6309,0.8783,0.0000
GradientBoosting ,0.5,1.0,0.8702 ± 0.0059,0.1367 ± 0.0077,0.8869 ± 0.0069,0.0001 ± 0.0001,0.8778,0.1396,0.8948,0.0000
GradientBoosting ,0.5,0.75,0.8402 ± 0.0078,0.1841 ± 0.0082,0.8978 ± 0.0047,0.0000 ± 0.0000,0.8456,0.1876,0.9040,0.0000
GradientBoosting ,0.5,0.5,0.7939 ± 0.0092,0.3113 ± 0.0121,0.9014 ± 0.0048,0.0000 ± 0.0000,0.7921,0.3158,0.9040,0.0000
GradientBoosting ,0.5,0.25,0.6836 ± 0.0172,0.6046 ± 0.0182,0.8682 ± 0.0090,0.0000 ± 0.0000,0.6841,0.5969,0.8771,0.0000
GradientBoosting ,0.25,1.0,0.8882 ± 0.0054,0.1313 ± 0.0075,0.9047 ± 0.0073,0.0000 ± 0.0000,0.8911,0.1343,0.9094,0.0000
GradientBoosting ,0.25,0.75,0.8651 ± 0.0079,0.1665 ± 0.0094,0.9151 ± 0.0063,0.0000 ± 0.0000,0.8690,0.1712,0.9213,0.0000
GradientBoosting ,0.25,0.5,0.8198 ± 0.0086,0.2643 ± 0.0124,0.9098 ± 0.0071,0.0000 ± 0.0000,0.8129,0.2691,0.9138,0.0000
GradientBoosting ,0.25,0.25,0.7335 ± 0.0099,0.5202 ± 0.0158,0.8862 ± 0.0062,0.0000 ± 0.0000,0.7276,0.5140,0.8941,0.0000
MDN $_{LogRank}$,1.0,1.0,0.8472 ± 0.0050,0.1299 ± 0.0060,0.8724 ± 0.0063,0.4816 ± 0.2881,0.8562,0.1266,0.8790,0.5749
MDN $_{LogRank}$,1.0,0.75,0.8071 ± 0.0106,0.1949 ± 0.0075,0.8546 ± 0.0101,0.0015 ± 0.0023,0.6805,0.3363,0.7345,0.0000
MDN $_{LogRank}$,1.0,0.5,0.7187 ± 0.0198,0.3847 ± 0.0323,0.7917 ± 0.0235,0.0188 ± 0.0329,0.6947,0.3612,0.7687,0.0000
MDN $_{LogRank}$,1.0,0.25,0.6760 ± 0.0126,0.6126 ± 0.0565,0.7605 ± 0.0207,0.2075 ± 0.2538,0.6635,0.7648,0.7560,0.3459
MDN $_{LogRank}$,0.75,1.0,0.8518 ± 0.0067,0.1300 ± 0.0078,0.8752 ± 0.0079,0.3546 ± 0.2328,0.8579,0.1271,0.8832,0.7070
MDN $_{LogRank}$,0.75,0.75,0.8125 ± 0.0112,0.1981 ± 0.0204,0.8517 ± 0.0128,0.0597 ± 0.0760,0.8219,0.1836,0.8643,0.0000
MDN $_{LogRank}$,0.75,0.5,0.7166 ± 0.0177,0.3441 ± 0.0336,0.7775 ± 0.0177,0.1531 ± 0.1761,0.7048,0.3669,0.7555,0.1859
MDN $_{LogRank}$,0.75,0.25,0.6627 ± 0.0202,0.5984 ± 0.0911,0.7386 ± 0.0290,0.0325 ± 0.0570,0.6670,0.5992,0.7410,0.0000
MDN $_{LogRank}$,0.5,1.0,0.8619 ± 0.0062,0.1290 ± 0.0066,0.8809 ± 0.0074,0.0461 ± 0.0527,0.8665,0.1259,0.8904,0.0000
MDN $_{LogRank}$,0.5,0.75,0.8340 ± 0.0091,0.1814 ± 0.0110,0.8640 ± 0.0128,0.1760 ± 0.3080,0.8328,0.1775,0.8670,0.0000
MDN $_{LogRank}$,0.5,0.5,0.7569 ± 0.0122,0.3242 ± 0.0295,0.8054 ± 0.0131,0.0027 ± 0.0047,0.7962,0.3435,0.8353,0.0000
MDN $_{LogRank}$,0.5,0.25,0.7084 ± 0.0219,0.5825 ± 0.0547,0.7642 ± 0.0294,0.0164 ± 0.0230,0.7187,0.4386,0.7589,0.0000
MDN $_{LogRank}$,0.25,1.0,0.8808 ± 0.0072,0.1204 ± 0.0068,0.9023 ± 0.0081,0.0115 ± 0.0201,0.4557,0.2809,0.5281,0.0000
MDN $_{LogRank}$,0.25,0.75,0.8459 ± 0.0094,0.1815 ± 0.0086,0.8652 ± 0.0123,0.0026 ± 0.0038,0.8539,0.1611,0.8876,0.0000
MDN $_{LogRank}$,0.25,0.5,0.7879 ± 0.0229,0.2709 ± 0.0247,0.8219 ± 0.0240,0.0385 ± 0.0582,0.8041,0.3008,0.8420,0.0000
MDN $_{LogRank}$,0.25,0.25,0.7489 ± 0.0087,0.4675 ± 0.0422,0.7933 ± 0.0140,0.0552 ± 0.0968,0.5714,0.6699,0.5680,0.0000
